experiment_id,variant,train_acc,test_acc,train_loss,test_loss
B_weakev_comp_a0p2_lam1,embedding_keep_dc_top10,0.9145825317429781,0.8783677482792527,1.6797851233722705,1.7600739575651425
B_weakev_comp_a0p2_lam1,embedding_remove_top10,0.0700269334359369,0.07305801376597837,4.485822747330704,4.4707713979535395
B_grok_boundary_a0p4_lam0p01,embedding_keep_dc_top10,0.9801376597836775,0.9793076522644456,0.22640210116976248,0.23606664050934775
B_grok_boundary_a0p4_lam0p01,embedding_remove_top10,0.010816125860373648,0.009370119729307652,7.857984862801131,7.885294066810906
B_memorize_fourier_control_a0p1_lam0p316228,embedding_keep_dc_top10,0.9782783588093322,0.9158424431719591,0.5628668492778308,0.8091787788037643
B_memorize_fourier_control_a0p1_lam0p316228,embedding_remove_top10,0.02815768302493966,0.032014575741801145,4.670501684432824,4.462137868663782
C_strong_ref_a0p7_lam0p031623,embedding_keep_dc_top10,1.0,1.0,5.06476046624113e-07,4.779493608567737e-07
C_strong_ref_a0p7_lam0p031623,embedding_remove_top10,0.008401478660244203,0.008328995314940135,9.895581325438277,9.861322533023165
C_strong_ref_a0p7_lam0p031623,lm_head_keep_dc_top10,0.9955192113812031,0.9950546590317543,0.47945262780311837,0.4615418306556237
C_strong_ref_a0p7_lam0p031623,lm_head_remove_top10,1.0,1.0,0.0006383972972134026,0.0006377241501021298
C_strong_ref_a0p7_lam0p031623,both_keep_dc_top10,0.9939509353646242,0.9945340968245705,0.47542044450604554,0.46340384773758786
C_strong_ref_a0p7_lam0p031623,both_remove_top10,0.009073596953063739,0.009370119729307652,7.0608558043715695,7.055666350126887
