cell,alpha,lambda,top_k_pairs,freqs,chance_acc,baseline_train_acc,baseline_test_acc,additive_line_fraction,top12_modes_all_additive,keep_train_acc,keep_test_acc,remove_train_acc,remove_test_acc
B_repr_a0p4_lam0p1,0.4,0.1,3,"41,30,27",0.008849557522123894,1.0,1.0,0.6912549138069153,True,0.47944936086529005,0.4463820926600729,0.16007866273353,0.16150442477876106
B_repr_a0p4_lam0p1,0.4,0.1,5,"41,30,27,31,19",0.008849557522123894,1.0,1.0,0.6912549138069153,True,0.6666666666666666,0.635606454971369,0.20806293018682398,0.20588235294117646
B_repr_a0p4_lam0p1,0.4,0.1,10,"41,30,27,31,19,18,14,53,56,36",0.008849557522123894,1.0,1.0,0.6912549138069153,True,0.8890855457227138,0.8455231650182197,0.027138643067846607,0.025377407600208225
B_repr_a0p4_lam0p1,0.4,0.1,15,"41,30,27,31,19,18,14,53,56,36,11,9,35,48,13",0.008849557522123894,1.0,1.0,0.6912549138069153,True,0.8798426745329401,0.8201457574180114,0.023992133726647002,0.025897969807391983
B_center_a0p3_lam0p1,0.3,0.1,10,"38,30,14,41,46,53,37,28,31,2",0.008849557522123894,1.0,1.0,0.6101472973823547,True,0.8927641853201458,0.8784586087151338,0.007808433107756377,0.010193794107762966
