group,alpha_idx,lambda_idx,alpha,lam,seed,final_step_measured,fourier_sparsity,circularity_top_freq,weight_norm_total,embedding_stable_rank,embedding_effective_rank,lm_head_effective_rank,dom_freq_0,dom_freq_1,dom_freq_2,dom_freq_3,dom_freq_4,source_file,first_step,first_fourier_sparsity,first_circularity_top_freq,first_weight_norm_total,first_embedding_stable_rank,first_embedding_effective_rank,first_lm_head_effective_rank,phase,t_train,t_test,final_step,delta_fourier_sparsity,delta_circularity_drop,dominant_freqs,top_canonical_freq,fourier_score,fourier_sparsity_pct_in_group,circularity_good_pct_in_group,fourier_evidence,mechanism_call
A,1,3,0.2,0.316228,0,100000,0.16668972373008728,0.5172785520553589,28.5662841796875,17.602636337280273,41.153480529785156,,41.0,72.0,102.0,11.0,52.0,results/scans/A_p113_phase1.partial.parquet,100,0.1347041130065918,0.5115306377410889,21.540767669677734,10.759603500366211,51.280006408691406,,memorize,1000.0,,100000,0.03198561072349548,-0.0057479143142700195,"41,72,102,11,52",41.0,3.81,0.5,0.15000000000000002,none,memorization_or_lookup
A,1,4,0.2,1.0,0,100000,0.18567542731761932,0.5221338272094727,30.1406192779541,19.324859619140625,40.6056022644043,,41.0,72.0,61.0,52.0,10.0,results/scans/A_p113_phase1.partial.parquet,100,0.13659171760082245,0.5164751410484314,20.33427619934082,10.465774536132812,50.89605712890625,,memorize,1000.0,,100000,0.049083709716796875,-0.00565868616104126,"41,72,61,52,10",41.0,3.69,0.6,0.09999999999999998,none,memorization_or_lookup
A,1,5,0.2,3.162278,0,100000,0.1855110228061676,0.4578370153903961,31.17667007446289,17.787944793701172,44.230342864990234,,41.0,72.0,61.0,52.0,45.0,results/scans/A_p113_phase1.partial.parquet,100,0.14090809226036072,0.5339576601982117,17.098875045776367,9.54296875,50.09211730957031,,memorize,1000.0,,100000,0.044602930545806885,0.07612064480781555,"41,72,61,52,45",41.0,8.62,0.55,0.6,none,memorization_or_lookup
A,1,6,0.2,10.0,0,5000000,0.9312925934791565,0.41177383065223694,14.367409706115723,3.102757692337036,15.004392623901367,,11.0,102.0,91.0,22.0,33.0,results/scans/A_p113_phase1.partial.parquet,100,0.15474212169647217,0.4566017985343933,11.353743553161621,6.4306817054748535,47.273681640625,,fail,,,5000000,0.7765504717826843,0.04482796788215637,"11,102,91,22,33",11.0,75.75,1.0,0.65,strong,no_generalization_or_fail
A,2,0,0.3,0.01,0,100000,0.30554133653640747,0.2657317817211151,160.83753967285156,1.0906370878219604,23.923105239868164,,52.0,61.0,99.0,14.0,5.0,results/scans/A_p113_phase1.partial.parquet,100,0.2964293956756592,0.3654504716396332,22.102134704589844,10.398890495300293,51.20820236206055,,memorize,1000.0,,100000,0.009111940860748291,0.09971868991851807,"52,61,99,14,5",52.0,23.57,0.65,0.8,weak,memorization_or_lookup
A,2,1,0.3,0.031623,0,100000,0.32201218605041504,0.2750180661678314,47.2125358581543,2.2871952056884766,40.82958221435547,,52.0,61.0,108.0,5.0,14.0,results/scans/A_p113_phase1.partial.parquet,100,0.29748836159706116,0.3647342622280121,22.07845115661621,10.347725868225098,51.1912841796875,,memorize,1000.0,,100000,0.024523824453353882,0.08971619606018066,"52,61,108,5,14",52.0,24.74,0.7,0.75,weak,memorization_or_lookup
A,2,2,0.3,0.1,0,100000,0.33874499797821045,0.18786878883838654,28.298076629638672,6.145105838775635,39.83979034423828,,52.0,61.0,99.0,14.0,5.0,results/scans/A_p113_phase1.partial.parquet,100,0.30048832297325134,0.3614363968372345,21.931432723999023,10.162169456481934,51.14170455932617,,memorize,1000.0,,100000,0.038256675004959106,0.17356760799884796,"52,61,99,14,5",52.0,33.4,0.75,0.85,weak,memorization_or_lookup
A,2,3,0.3,0.316228,0,100000,0.3968944251537323,0.13088905811309814,29.619081497192383,15.187033653259277,38.820274353027344,,52.0,61.0,99.0,14.0,5.0,results/scans/A_p113_phase1.partial.parquet,100,0.304195761680603,0.35961052775382996,21.53528594970703,10.067981719970703,50.99180603027344,,memorize,1000.0,,100000,0.09269866347312927,0.2287214696407318,"52,61,99,14,5",52.0,44.48,0.8,0.95,moderate,memorization_or_lookup
A,2,4,0.3,1.0,0,100000,0.6294180154800415,0.17333824932575226,27.507062911987305,18.28798484802246,53.03592300415039,,20.0,93.0,96.0,17.0,39.0,results/scans/A_p113_phase1.partial.parquet,100,0.31444594264030457,0.3558844029903412,20.319379806518555,9.688690185546875,50.68742370605469,,grok,1000.0,100000.0,100000,0.31497207283973694,0.18254615366458893,"20,93,96,17,39",20.0,67.85,0.95,0.9,moderate,fourier_like_moderate
A,2,5,0.3,3.162278,0,100000,0.4120595455169678,0.287383496761322,30.024494171142578,23.914060592651367,55.80390930175781,,20.0,93.0,61.0,52.0,45.0,results/scans/A_p113_phase1.partial.parquet,100,0.36150801181793213,0.329258531332016,17.091903686523438,8.010771751403809,49.44579315185547,,comprehend,1000.0,10000.0,100000,0.050551533699035645,0.04187503457069397,"20,93,61,52,45",20.0,33.18,0.85,0.7,weak,generalizes_but_fourier_weak
